Order Type,Quantity,Price,Property Link,Order ID,Expire At,Created At
Buy,1,56.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSYMW9WHYEG53TSPBZ7YDPGC,1714091253699,1711499285865
Buy,1,53.9,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HRQDDD07106Q1JK1CQ38NWKH,1712774802364,1710182842667
Buy,1,51.0,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HRKEVK5NDV3XJJAN205VHKRN,1712638500452,1710050128469
Buy,1,50.5,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HS0HG0X38DZ0ZWQAPZW2WC0X,1713081069914,1710489107635
Buy,4,50.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HT07PHTSCC91MAZ4P7VZ4GHK,1714144539815,1711552547796
Buy,1,50.0,https://lofty.ai/property_deal/01HQPBRGHMGY6J768GPKRRRWG2,01HSY9QXVZ4B59B758QJYQGDJS,1714079574161,1711487581129
Buy,24,50.0,https://lofty.ai/property_deal/01HP0C6PTQN0SWTXYHT0WGX8F4,01HSW3A5MBJRJ6KX9NM5YWWR16,1714005725879,1711413729794
Buy,172,50.0,https://lofty.ai/property_deal/01HAW7JQ4TGDEPM7WS82A8WKWN,01HSAF3K32W317TJTAG7ZT1EC0,1713414111349,1710822144814
Buy,4,50.0,https://lofty.ai/property_deal/01HB70QFQBM9ATQ1MY9C402AE4,01HSRKYDK9EZ0K8ZS1PFE3X3ST,1713888937148,1711296977920
Buy,12,48.0,https://lofty.ai/property_deal/01HQPBRGHMGY6J768GPKRRRWG2,01HSEDD97W9ZW7MZ5CJEBFMVKV,1713546550120,1710954555604
Buy,10,48.0,https://lofty.ai/property_deal/01HB70QFQBM9ATQ1MY9C402AE4,01HT3AQJV2CCK9S9S34W0TCVZJ,1714244781826,1711656423157
Buy,5,46.25,https://lofty.ai/property_deal/01HB70QFQBM9ATQ1MY9C402AE4,01HRSVK1SG50S5ASMW29DB7GJ3,1712856776666,1710264781489
Buy,2,45.0,https://lofty.ai/property_deal/01HP0C6PTQN0SWTXYHT0WGX8F4,01HSYQZBT7D2K9FP2PK1RKKSG7,1714094496755,1711502504786
Buy,10,45.0,https://lofty.ai/property_deal/01GA2HQA2RAWY2MPR5FDVJGDRM,01HRDJB7FHZ24M776GN9KWHJ62,1712440821306,1709852435457
Buy,3,44.0,https://lofty.ai/property_deal/01H93J1F8NAKD6J8E46BPD3JX3,01HSJMVFKS9GRGXW6ZFQE5SYPV,1713688572807,1711096604966
Buy,2,42.0,https://lofty.ai/property_deal/01G4XPM2EVX59KGVACEC12K7V7,01HT3YZ1MD19BD4NP2J1VTYMC6,1714269598569,1711677606385
Buy,10,41.25,https://lofty.ai/property_deal/01H93J1F8NAKD6J8E46BPD3JX3,01HRSVMRM5SWAWK5GCFNSC1EF8,1712856832078,1710264837564
Buy,2,40.0,https://lofty.ai/property_deal/01G4XPM2EVX59KGVACEC12K7V7,01HSYS84A0S12NJ4NPQGKFZTZ3,1714095822850,1711503875891
Buy,10,27.0,https://lofty.ai/property_deal/01G5JB6RMFRA00N0076YRHNHWP,01HSVWFRT3BZBDB1QD3KW8MEKY,1713998570620,1711406599362
Buy,10,26.5,https://lofty.ai/property_deal/01FN0KMRMBY5FYT24A8935ZZXM,01HTFWH0SD7SNSVD5VAFANAMW2,1714669700430,1712077729650
Buy,10,26.0,https://lofty.ai/property_deal/01FN0KMRMBY5FYT24A8935ZZXM,01HSVWSGFYK1MQRVHXETXA3TVZ,1713998890469,1711406917413
Buy,50,25.01,https://lofty.ai/property_deal/01FDD8E2MGZXX2WXT7D4T5ZRRK,01HS1CQCG04D8B2F6PEZN7E5VY,1713109628945,1710517657892
Buy,5,25.0,https://lofty.ai/property_deal/01FSQWFTQTFQA9K1RSP4TA6ESB,01HTB7ZBE14PA7KNW6N9F95RFB,1714513933339,1711921960270
Buy,10,25.0,https://lofty.ai/property_deal/01FNSMTASFCP7DTAJENQ0HMAME,01HSDXTX2J6FANV371PHK7NPWE,1713530222326,1710938250024
Buy,10,25.0,https://lofty.ai/property_deal/01FK1E5NHX4PEZC1GXVSSAPWXP,01HSP4253X3SZ2BQ7A81G21QWN,1713805185959,1711213214276
Buy,40,24.51,https://lofty.ai/property_deal/01FN0KMRMBY5FYT24A8935ZZXM,01HT04SYQRMYDXAM2DP5EQGG35,1714141511569,1711549540242
Buy,5,22.5,https://lofty.ai/property_deal/01FKPEZVFSD6KDYN5DY5Y7Z2AE,01HSQMGJ0RJJF839JECFGBQ2D4,1713855986783,1711264019170
Buy,5,21.0,https://lofty.ai/property_deal/01G5JB6RMFRA00N0076YRHNHWP,01HSKF6Y2SFB1DV9R6YV626FHW,1713716211242,1711124242136
Buy,2,21.0,https://lofty.ai/property_deal/01FKER0A73QJBYP4JQHW10KYBH,01HSPC0X589BJSM3102GHGC67J,1713813534073,1711221537201
Buy,100,5.0,https://lofty.ai/property_deal/01GKA8SK6FAGDMXGF5N5VKP2J8,01HS9KNP6JD40G02H9FKV1SS66,1713385339751,1710793350479
Buy,1,2.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HR7ZS246VARFPEZT1QXRAA2C,1712253590965,1709665218532
Buy,1,1.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HR7ZQV4KWYKMFMYCWNVGWPYB,1712253549359,1709665178486
